Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:57:43.877,114282.0,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.2,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.3,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.3,0.065,BTCUSDT
2025-09-29 23:57:43.877,114282.6,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.6,0.003,BTCUSDT
2025-09-29 23:57:43.877,114282.7,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.8,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.8,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.8,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.9,0.002,BTCUSDT
2025-09-29 23:57:43.877,114283.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114283.1,0.058,BTCUSDT
2025-09-29 23:57:43.877,114283.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114283.1,0.683,BTCUSDT
2025-09-29 23:57:43.877,114283.2,0.415,BTCUSDT
2025-09-29 23:57:43.877,114283.3,0.002,BTCUSDT
2025-09-29 23:57:43.877,114283.3,0.403,BTCUSDT
2025-09-29 23:57:43.877,114283.4,0.002,BTCUSDT
2025-09-29 23:57:43.877,114283.4,0.131,BTCUSDT
2025-09-29 23:57:43.877,114283.5,0.001,BTCUSDT
2025-09-29 23:57:43.877,114283.6,0.414,BTCUSDT
2025-09-29 23:57:43.877,114283.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114283.7,0.059,BTCUSDT
2025-09-29 23:57:43.878,114283.7,0.411,BTCUSDT
2025-09-29 23:57:43.878,114283.8,0.533,BTCUSDT
2025-09-29 23:57:43.878,114283.9,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114284.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.2,0.005,BTCUSDT
2025-09-29 23:57:43.878,114284.3,0.012,BTCUSDT
2025-09-29 23:57:43.878,114284.3,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114284.4,0.059,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.151,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.147,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.161,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.003,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.087,BTCUSDT
2025-09-29 23:57:43.878,114284.6,0.173,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.671,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.019,BTCUSDT
2025-09-29 23:57:43.878,114285.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114285.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114285.5,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.5,0.002,BTCUSDT
2025-09-29 23:57:43.878,114285.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.9,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114286.0,0.05,BTCUSDT
